x,y,goal_x,goal_y,dx,dy,up_wall,down_wall,left_wall,right_wall,maze_id,true_distance
0.05263157933950424,0.9473684430122375,0.2631579041481018,0.15789473056793213,0.21052631735801697,0.7894737124443054,0.0,0.0,0.0,0.0,378.0,27.0
0.21052631735801697,0.5789473652839661,0.05263157933950424,0.10526315867900848,0.15789473056793213,0.4736842215061188,0.0,0.0,0.0,0.0,400.0,12.0
0.42105263471603394,0.10526315867900848,1.0,0.5263158082962036,0.5789473652839661,0.42105263471603394,0.0,1.0,0.0,0.0,99.0,19.0
0.3684210479259491,1.0,0.10526315867900848,0.5263158082962036,0.2631579041481018,0.4736842215061188,1.0,1.0,1.0,0.0,383.0,16.0
0.6315789222717285,0.5263158082962036,0.8421052694320679,0.4736842215061188,0.21052631735801697,0.05263157933950424,1.0,1.0,0.0,0.0,464.0,5.0
0.42105263471603394,0.15789473056793213,1.0,0.21052631735801697,0.5789473652839661,0.05263157933950424,0.0,0.0,0.0,0.0,382.0,12.0
0.21052631735801697,0.6315789222717285,0.4736842215061188,0.6842105388641357,0.2631579041481018,0.05263157933950424,1.0,1.0,0.0,0.0,420.0,6.0
0.21052631735801697,0.2631579041481018,0.15789473056793213,0.31578946113586426,0.05263157933950424,0.05263157933950424,0.0,1.0,0.0,1.0,404.0,2.0
0.3684210479259491,0.05263157933950424,0.05263157933950424,0.15789473056793213,0.31578946113586426,0.10526315867900848,0.0,1.0,0.0,0.0,303.0,12.0
0.6842105388641357,0.5789473652839661,0.5789473652839661,0.4736842215061188,0.10526315867900848,0.10526315867900848,0.0,0.0,1.0,0.0,250.0,4.0
0.0,0.21052631735801697,0.7368420958518982,0.8421052694320679,0.7368420958518982,0.6315789222717285,0.0,0.0,1.0,1.0,138.0,26.0
0.15789473056793213,0.9473684430122375,0.8421052694320679,0.7368420958518982,0.6842105388641357,0.21052631735801697,1.0,1.0,0.0,0.0,210.0,19.0
0.4736842215061188,0.5263158082962036,1.0,0.3684210479259491,0.5263158082962036,0.15789473056793213,0.0,0.0,0.0,1.0,225.0,13.0
0.8947368264198303,0.5789473652839661,0.9473684430122375,0.6315789222717285,0.05263157933950424,0.05263157933950424,0.0,0.0,0.0,0.0,83.0,2.0
0.10526315867900848,0.21052631735801697,0.4736842215061188,0.7894737124443054,0.3684210479259491,0.5789473652839661,0.0,0.0,1.0,0.0,102.0,18.0
